name,budget.x,company.x,country.x,director.x,genre.x,gross.x,rating.x,released.x,runtime.x,score.x,star.x,votes.x,writer.x,year.x,YoutubeLikes,YoutubeDislike,Youtube ViewCount,Twitter Sentiment
Elegy,13000000,Lakeshore Entertainment,USA,Isabel Coixet,Drama,3581642,R,29/08/2008,112,6.8,Ben Kingsley,20231,Nicholas Meyer,2008,6883,228,505479,1
Elektra Luxx,0,Gato Negro Films,USA,Sebastian Gutierrez,Comedy,10822,R,14/03/2010,100,5.1,Joseph Gordon-Levitt,6197,Sebastian Gutierrez,2010,180,44,310653,0
Elite Squad,4000000,Zazen Produções,Brazil,José Padilha,Action,8060,R,30/05/2008,115,8.1,Wagner Moura,86772,André Batista,2007,3302,83,337206,1
Elite Squad: The Enemy Within,0,Globo Filmes,Brazil,José Padilha,Action,100119,UNRATED,08/10/2010,115,8.1,Wagner Moura,70700,Bráulio Mantovani,2010,1629,64,747445,0
Elizabeth: The Golden Age,55000000,Universal Pictures,UK,Shekhar Kapur,Biography,16285240,PG-13,12/10/2007,114,6.9,Cate Blanchett,58073,William Nicholson,2007,5127,217,1902663,1
Elles,0,Slot Machine,France,Malgorzata Szumowska,Drama,157427,UNRATED,24/08/2012,99,5.7,Juliette Binoche,5354,Tine Byrckel,2011,116,16,150258,2
Elysium,115000000,TriStar Pictures,USA,Neill Blomkamp,Action,93050117,R,09/08/2013,109,6.6,Matt Damon,366674,Neill Blomkamp,2013,12548,775,,1
Embrace of the Serpent,1400000,Buffalo Films,Colombia,Ciro Guerra,Adventure,1329249,NOT RATED,25/05/2015,125,7.9,Nilbio Torres,13698,Ciro Guerra,2015,579,10,,1
Employee of the Month,12000000,Lionsgate,USA,Greg Coolidge,Comedy,28435406,PG-13,06/10/2006,103,5.5,Jessica Simpson,39328,Don Calame,2006,474,30,195854,1
En la casa,0,Mandarin Films,France,François Ozon,Comedy,354244,R,12/12/2013,105,7.4,Fabrice Luchini,24809,Juan Mayorga,2012,821402,45386,,1
Enchanted,85000000,Walt Disney Pictures,USA,Kevin Lima,Animation,127807262,PG,21/11/2007,107,7.1,Amy Adams,153161,Bill Kelly,2007,133,81,511212,1
End of Watch,7000000,Exclusive Media Group,USA,David Ayer,Action,41003371,R,21/09/2012,109,7.7,Jake Gyllenhaal,196450,David Ayer,2012,2141,56,,1
Ender's Game,110000000,OddLot Entertainment,USA,Gavin Hood,Action,61737191,PG-13,01/11/2013,114,6.7,Harrison Ford,197592,Gavin Hood,2013,549,21,,2
Endless Love,20000000,Bluegrass Films,USA,Shana Feste,Drama,23393765,PG-13,14/02/2014,104,6.3,Gabriella Wilde,34658,Shana Feste,2014,72979,2676,,1
English Vinglish,0,Curbside Films,India,Gauri Shinde,Comedy,1670773,NOT RATED,05/10/2012,134,7.9,Sridevi,25931,Gauri Shinde,2012,26685,1732,,1
Enough Said,8000000,Fox Searchlight Pictures,USA,Nicole Holofcener,Comedy,17536788,PG-13,11/10/2013,93,7.1,Julia Louis-Dreyfus,52358,Nicole Holofcener,2013,113441,4481,,1
Enredos en Broadway,0,Lagniappe Films,Germany,Peter Bogdanovich,Comedy,88460,R,21/08/2015,93,6.1,Imogen Poots,19802,Peter Bogdanovich,2014,36,8,,0
Enter the Void,0,Fidélité Films,France,Gaspar Noé,Drama,336467,NOT RATED,05/05/2010,161,7.3,Nathaniel Brown,51942,Gaspar Noé,2009,2434,43,408351,2
Entourage,30000000,Warner Bros.,USA,Doug Ellin,Comedy,32361416,R,03/06/2015,104,6.6,Adrian Grenier,66336,Doug Ellin,2015,2634,164,,1
Epic,100000000,Twentieth Century Fox Animation,USA,Chris Wedge,Animation,107518682,PG,24/05/2013,102,6.7,Amanda Seyfried,90501,James V. Hart,2013,14584,380,,1
Epic Movie,20000000,Regency Enterprises,USA,Jason Friedberg,Adventure,39739367,PG-13,26/01/2007,86,2.3,Kal Penn,93481,Jason Friedberg,2007,54,30,1027515,1
