budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Likes,Dislike
40000000,Samuelson Productions,UK,Geoffrey Sax,Action,652526,Alex Rider: Operation Stormbreaker,PG,13-10-2006,93,5.1,Alex Pettyfer,21238,Anthony Horowitz,2006,295,46
0,TS Productions,France,Jean-Claude Brisseau,Drama,22490,The Exterminating Angels,NOT RATED,13-09-2006,100,5.5,Frédéric van den Driessche,2583,Jean-Claude Brisseau,2006,66,2
20000000,The Weinstein Company,USA,Jim Sonzero,Horror,20259297,Pulse,PG-13,11-08-2006,90,4.7,Kristen Bell,25920,Wes Craven,2006,855,61
0,Beijing Film Studio,China,Ronny Yu,Action,24623719,Fearless,PG-13,22-09-2006,104,7.7,Jet Li,65534,Chris Chow,2006,254494,2923
30000000,Regency Enterprises,USA,Ivan Reitman,Comedy,22530295,My Super Ex-Girlfriend,PG-13,21-07-2006,96,5.1,Uma Thurman,56128,Don Payne,2006,342,31
28000000,Focus Features,USA,Allen Coulter,Biography,14415222,Hollywoodland,R,08-09-2006,126,6.5,Adrien Brody,30288,Paul Bernbaum,2006,310,13
30000000,Columbia Pictures Industries,USA,Phil Joanou,Crime,38432823,Gridiron Gang,PG-13,15-09-2006,125,6.9,Dwayne Johnson,35771,Jeff Maguire,2006,31,10
86000000,EuropaCorp,France,Luc Besson,Animation,15132763,Arthur and the Invisibles,PG,12-01-2007,94,6,Freddie Highmore,27672,Céline Garcia,2006,253,22
9000000,Hollywood Pictures,USA,William Brent Bell,Horror,23086480,Stay Alive,PG-13,24-03-2006,85,5.1,Jon Foster,26907,William Brent Bell,2006,1995416,61619
0,Fox Searchlight Pictures,UK,Nicholas Hytner,Comedy,2706659,The History Boys,R,22-12-2006,109,6.9,Richard Griffiths,18566,Alan Bennett,2006,327,6
0,New Zealand Film Commission,New Zealand,Jonathan King,Comedy,82987,Black Sheep,NOT RATED,29-03-2007,87,5.8,Oliver Driver,36120,Jonathan King,2006,1838,209
85000000,Columbia Pictures,USA,Roger Allers,Animation,85105259,Open Season,PG,29-09-2006,86,6.2,Ashton Kutcher,71052,Steve Bencich,2006,63176,1445
0,BBC Films,UK,Tom Vaughan,Comedy,210128,Starter for 10,PG-13,09-03-2007,92,6.7,James McAvoy,19040,David Nicholls,2006,218,2
1500000,ArieScope Pictures,USA,Adam Green,Comedy,155873,Hatchet,R,02-04-2010,84,5.7,Kane Hodder,24641,Adam Green,2006,120,5
0,Sixteen Films,Ireland,Ken Loach,Drama,1829142,The Wind That Shakes the Barley,NOT RATED,23-03-2007,127,7.5,Cillian Murphy,39412,Paul Laverty,2006,1404,74
0,Bristol Bay Productions,USA,Michael Apted,Biography,21208358,Amazing Grace,PG,23-02-2007,118,7.5,Ioan Gruffudd,21869,Steven Knight,2006,289554,15935
9000000,Dimension Films,USA,Glen Morgan,Horror,16235293,Black Christmas,R,25-12-2006,84,4.6,Michelle Trachtenberg,21102,Glen Morgan,2006,808,16
18000000,Millennium Films,Germany,Todd Robinson,Crime,188565,Amores asesinos,R,20-07-2007,108,6.5,John Travolta,18418,Todd Robinson,2006,1459,16
52000000,Alcon Entertainment,USA,Richard Donner,Action,36883539,16 Blocks,PG-13,03-03-2006,102,6.6,Bruce Willis,116840,Richard Wenk,2006,463,50
0,Walt Disney Pictures,USA,James Gartner,Biography,42643187,Glory Road,PG,13-01-2006,118,7.2,Josh Lucas,37118,Christopher Cleveland,2006,863,22
50000000,Warner Bros.,USA,Richard Loncraine,Crime,48751189,Firewall,PG-13,10-02-2006,105,5.8,Harrison Ford,51779,Joe Forte,2006,262,26
54000000,Universal Pictures,USA,Anthony Russo,Comedy,75628110,"You, Me and Dupree",PG-13,14-07-2006,110,5.6,Kate Hudson,71458,Michael LeSieur,2006,40,28
60000000,Electric Entertainment,UK,Tony Bill,Action,13082288,Flyboys,PG-13,22-09-2006,140,6.6,James Franco,37329,Phil Sears,2006,1210,66
20000000,Columbia Pictures Corporation,USA,Takashi Shimizu,Horror,39143839,The Grudge 2,PG-13,13-10-2006,102,5,Amber Tamblyn,41311,Stephen Susco,2006,16436,1666
60000000,Twentieth Century Fox Film Corporation,USA,Clark Johnson,Action,36280697,The Sentinel,PG-13,21-04-2006,108,6.1,Michael Douglas,43940,George Nolfi,2006,7104,196
1000000,Big Easy Pictures,USA,Katherine Brooks,Drama,1100000,Loving Annabelle,NOT RATED,24-05-2007,76,6.6,Erin Kelly,10025,Katherine Brooks,2006,497,15
35000000,Arc Productions,Canada,Colin Brady,Animation,14522427,Everyone's Hero,G,15-09-2006,87,5.8,Jake T. Austin,6650,Robert Kurtz,2006,270,41
45000000,Beijing New Picture Film Co.,China,Yimou Zhang,Action,6566773,Curse of the Golden Flower,R,12-01-2007,100,7,Yun-Fat Chow,38097,Zhi-Hong Bian,2006,647,50
100000,Carmel Entertainment,USA,Alex Kendrick,Drama,10178331,Facing the Giants,PG,29-09-2006,111,6.7,Alex Kendrick,13291,Alex Kendrick,2006,66134,1122
